EveNamn,EveBesk,Event Relevance,Location Category
Valsedelsutdelning,Valsedelsutdelning Hjälp oss bemanna vallokalerna utanför Nackstaskolans matsal och Kristinelund Anmäl intresse till Jan Lahti ordförande Socialdemokraterna Nacksta Dela gärna,151,City
Samling för klimatet,Samling för klimatet Samlas och manifestera för klimatet tillsammans med physiotherapistsforfuture och många andra som stöttar FridaysForFuture,173,
Bringing international experiences on sustainability to KTH,"Bringing international experiences on sustainability to KTH Welcome to the Sustainability Council of May 2nd
In this council we will have student speakers sharing international perpsectives on sustainability based on their experiences
After their talks we will have a workshop to we how we can get inspired by them amplify the international experiences within KTH and see what kinds of actions we can take

As always every student that is interested in the topic can attend whether you are part of an organisation or an individual At the beginning of the Council we have 15 minutes of fika to meet the other participants and network If you want to come and so that we dont waste food you need to sign up by April 29th in this sign up sheet httpsformsglezVFaYiVqsmsY552YA

Since we are having fika you are encouraged to bring your own reusable cup to cut down the waste from the event

Speakers

Niklas Bäckström Going abroadstudy visit experience
Experience from Study visit at university in Berlin with ban of singleuse takeaway products

Evdoxia Tsafou international conference experience
Experience from Student Conference on Circular economy from Baltic Universities Partnership

Raveena Muthukumar International participation at ideation stage
Experiences from Sustainability Hackathon in Uppsala


Ajay Korpal Bringing international engagement experience to KTH
Experience from sustainability projects and good examples in India",0,
Sopplunch med kompetensträning,"Sopplunch med kompetensträning Efter en fantastiskt fin vår är det nu dags för vårens sista kompetensträningstillfälle Stort tack till alla er som dykt upp och varit med och gjort dessa tillfällen både roliga och utvecklande

Det sista passet handlar om rollen som det personliga ledarskapet och dagens påstående lyder ” Det du är omedveten om styr dig det du är medveten om kontrollerar du”

Välkommen

Varma Kök Skillebyholm håller självklart öppet som vanligt och från och med den 185 även varje lördag under sommaren",0,Buffet Restaurant
Spring för livet i Skövde 2019,"Spring för livet i Skövde 2019 Spring för livet är ett välgörenhetslopp på Billingen i Skövde till förmån för Cancerfonden och Diabetesfonden Alla startavgifter delas mellan dessa två viktiga organisationer

Man går eller springer för den goda sakens skull Första privatperson i mål får pris företag tävlar i lag Läs mer längre ner

Distanser  priser
1 km Länsförsäkringars barnlopp  Gratis anmälan på plats
kl 111145 LF skänker 50 krstartande barn till insamlingen
Företag  privatklasser
25 km kostar 80 kr vid föranmälan
5 km kostar 150 kr vid föranmälan
10 km kostar 200 kr vid föranmälan

Företagstävlingen Man samlar ihop ett lag varje deltagare väljer sin egen distans och tillsammans kan man vinna hederspris för flest antal genomförda kilometer Dessutom lottar vi ut fina priser bland alla företag som anmält sig

Läs mer om loppet och anmäl dig på hemsidan httpwwwspringforlivetiskovdese

OBS SISTA ANMÄLNINGSDAG 23 APRIL
Efteranmälan på plats är möjlig till högre avgift för privatpersoner


Arrangemanget startades 2012 av Cissi Hagberg och drivs från 2018 av Energi träningscenter och Medborgarskolan tillsammans med en rad fantastiska sponsorer

Samarbetsparters ser du här inom kort  har ditt företag något att stötta med så hör av dig",103,Sports  Recreation
AVSLUTNINGSGRILLNING MED PA,"AVSLUTNINGSGRILLNING MED PA Hej alla
Den 29 maj klockan 1800 bjuder PUB in alla PAelever till en avslutningsgrillning nere vid Minnesgärdet Där kommer vi tända grillarna där man själv tar med sig det man vill grilla och dricka Vi tar med oss kubb volleyboll fotboll frisbee och högtalaren där vi spelar skön musik

Minnesgärdet ligger ca 15 km från universitetet Vill man inte promenera så finns det möjlighet att åka buss dit Hoppa isåfall av vid en hållplats nära Lidl och gå sedan rakt ner mot sjön

Hoppas vi ses där kärlekstyrelsen 💙",132,Local Business
Fysträning,Fysträning Löpning och fys i intervall tufft som vanligt,0,Sports  Recreation
Feel Good med rockkören DUM,"Feel Good med rockkören DUM Rockkören DUM musiker och solister bjuder på popmusik glädje och kaffe i St pers kyrka FRI ENTRÈ

MEDVERKANDE
Rockkören DUM Domkyrkoförsamlingens ungdomsmusik
under ledning av Niclas Dahl
Markus Bergström  gitarr
Jakob Hjalmarsson  trummor
Pär Engström  Bas",962,Landmark  Historical Place
Läromedelsmässa i Umeå,Läromedelsmässa i Umeå Besök vår utställning på Läromedelsmässa i Umeå,534,
Division 7 live i Köping,Division 7 live i Köping Tillbaka i Köping igen Den 24 maj spelar vi på Barn och ungdomsfestivalen på Hökartorget Vi kliver upp på scenen kl 2050,551,Public Square  Plaza
Skogskul våren 2019,"Skogskul våren 2019 NU STARTAR SKOGSKUL

Nu drar vi igång vårens orienteringar och vår Skogskulverksamhet
Roliga träningar för barn och ungdomar Både nybörjare och fortsättare

Nya och gamla medlemmar födda 2014 el tidigare hälsas välkomna till Skogskul Skogscool m ἀ grupper
Vuxna som vill träna är välkomna som skuggor till sina barn eller uppföljare till andra Det finns även möjlighet att själv testa en övning tillsammans med Skogscoolarna

VÅRENS PROGRAM
Torsdag 25 1800  Kvarnstugan
Torsdag 95 1800  Crossbanan Viken
Torsdag 165 1800  Lössenbo
Torsdag 235 1800  Viksjöfors skola

Infoev frågor Magnus 070883 87 81 Monika 070246 20 99",295,Campground
